Name,QuestionText
GamesSOARS_5,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My experiences and actions were under my control"
GamesSOARS_6,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I felt that my experiences and actions were not caused by me"
GamesSOARS_7,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My experiences and actions occurred effortlessly"
GamesSOARS_8,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I was mostly absorbed in what was going on"
GamesSOARS_9,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My responses were involuntarily"
GamesSOARS_10,"In this section we are interested in your inner, subjective experiences while playing video games.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I was reluctant to go along with my experiences"
GamesPresence_2,To what extent did you have a sense of being in a virtual environment? - Not at all:Very much so
GamesPresence_3,To what extent were there times during the experience when the virtual environment became ‘reality’ for you and you almost forgot about the ‘real world’ where the whole experience was really taking place? - Never:Almost all the time
GamesPresence_4,"When you think back to your experience, do you think of the virtual environment more as images that you saw, or more as somewhere that you visited? - Only as images that I saw:Somewhere that I visited"
GamesITC_1,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt sad that my experience was over"
GamesITC_2,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt disorientated"
GamesITC_3,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a sense that I had returned from a journey"
GamesITC_4,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I would have liked the experience to continue"
GamesITC_5,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I vividly remember some parts of the experience"
GamesITC_6,"Please think of your experience when you last played a game that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I’d recommend the experience to my friends."
GamesITC_7,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt myself being ‘drawn in’
GamesITC_8,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt involved (in the displayed environment)
GamesITC_9,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I lost track of time
GamesITC_10,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I could interact with the displayed environment
GamesITC_11,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The displayed environment seemed natural
GamesITC_12,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - It felt like the content was ‘live’
GamesITC_13,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that the characters and/or objects could almost touch me
GamesITC_14,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I enjoyed myself
GamesITC_15,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I was visiting the places in the displayed environment
GamesITC_16,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt tired
GamesITC_17,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The content seemed believable to me
GamesITC_18,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I wasn’t just watching something
GamesITC_19,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that I moved in response to parts of the displayed environment
GamesITC_20,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt dizzy
GamesITC_21,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that the displayed environment was part of the real world
GamesITC_22,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - My experience was intense
GamesITC_23,"DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I paid more attention to the displayed environment than I did to my own thoughts (e.g., personal preoccupations, daydreams etc.)"
GamesITC_24,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a sense of being in the scenes displayed
GamesITC_25,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that I could move objects (in the displayed environment)
GamesITC_26,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The scenes depicted could really occur in the real world
GamesITC_27,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I had eyestrain
GamesITC_28,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I could almost smell different features of the displayed environment
GamesITC_29,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that the characters were aware of me
GamesITC_30,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a strong sense of sounds coming from different directions within the displayed environment
GamesITC_31,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt surrounded by the displayed environment
GamesITC_32,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt nauseous
GamesITC_33,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a strong sense that the characters and objects were solid
GamesITC_34,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I could have reached out and touched things (in the displayed environment)
GamesITC_35,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I sensed that the temperature changed to match the scenes in the displayed environment
GamesITC_36,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I responded emotionally
GamesITC_37,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that all my senses were stimulated at the same time
GamesITC_38,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The content appealed to me
GamesITC_39,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt able to change the course of events in the displayed environment
GamesITC_40,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt as though I was in the same space as the characters and/or objects
GamesITC_41,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that parts of the displayed environment (e.g. characters or objects) were responding to me
GamesITC_42,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - It felt realistic to move things in the displayed environment
GamesITC_43,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I had a headache
GamesITC_44,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt as though I was participating in the displayed environment
MoviesGeneral_2,Think of a specific movie or TV show that you enjoy watching and that you have watched recently. What is that movie or show?
MoviesGeneral_3,What genre is this movie or show?
MoviesGeneral_4,Please briefly describe the plot of this movie or show
MoviesGeneral_5,"On
average, on how many days would you watch this movie or show each week?"
MoviesGeneral_6,"How
many hours a week do you spend watching this movie or show?"
MoviesGeneral_7,Do you usually watch this on a - Mobile
MoviesGeneral_8,Do you usually watch this on a - Tablet
MoviesGeneral_9,Do you usually watch this on a - Laptop
MoviesGeneral_10,Do you usually watch this on a - TV
MoviesGeneral_11,Do you usually watch this on a - Projector
MoviesGeneral_12,Do you usually watch this on a - Desktop Computer
MoviesGeneral_13,Do you watch movies or TV shows ... - Alone
MoviesGeneral_14,Do you watch movies or TV shows ... - With others physically in the same room
MoviesGeneral_15,"Do you watch movies or TV shows ... - Connected virtually to others (e.g., chatting online about what you are watching with other viewers)"
MoviesGeneral_16,Please describe your favourite main character in this movie or show
MoviesGeneral_17,Do you feel like this character is more good or bad?
MoviesGeneral_18,What is this character required to do in this movie or show?
MoviesGeneral_19,Please rate how much you agree/disagree with the following statements: - The main character acts similarly to me.
MoviesGeneral_20,Please rate how much you agree/disagree with the following statements: - The main character looks like me.
MoviesGeneral_21,"Please rate how much you agree/disagree with the following statements: - When I’m watching this movie or show, I feel I am the character."
MoviesGeneral_22,"Please rate how much you agree/disagree with the following statements: - When I am watching, it feels as if the character’s body becomes my own."
MoviesGeneral_23,Please rate how much you agree/disagree with the following statements: - If I could become like the character I would.
MoviesDFS_1,"For the next set of questions please think about your experience when you watch movies or TV. You may experience these characteristics some of the time, all of the time, or none of the time. There are no right or wrong answers.







 I feel I am competent enough to meet the demands of each situation"
MoviesDFS_2,I do things spontaneously and automatically without having to think
MoviesDFS_3,"I have a strong sense of
what I want to do"
MoviesDFS_4,I have a good idea about how well I am doing while I am involved in each task/activity
MoviesDFS_5,"I am completely focused on
the task at hand"
MoviesDFS_6,"I have a feeling of total control over what I
am doing"
MoviesDFS_7,"I am not worried about what
others may be thinking of me"
MoviesDFS_8,"The way time passes seems
to be different from normal"
MoviesDFS_9,Experiences are extremely rewarding
MoviesSOARS_1,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - Doing what I was meant to was hard"
MoviesSOARS_2,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I chose how to respond"
MoviesSOARS_3,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My experiences and actions felt self generated"
MoviesSOARS_4,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I went along with my experiences freely"
MoviesSOARS_5,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My experiences and actions were under my control"
MoviesSOARS_6,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I felt that my experiences and actions were not caused by me"
MoviesSOARS_7,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My experiences and actions occurred effortlessly"
MoviesSOARS_8,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I was mostly absorbed in what was going on"
MoviesSOARS_9,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - My responses were involuntarily"
MoviesSOARS_10,"In this section we are interested in your inner, subjective experiences watching movies or TV.  Please rate how much you agree with each statement. You don’t need to think too much about each statement, just select the option that seems most appropriate. - I was reluctant to go along with my experiences"
MoviesPresence_2,To what extent did you have a sense of being in a virtual environment? - Not at all:Very much so
MoviesPresence_3,To what extent were there times during the experience when the virtual environment became ‘reality’ for you and you almost forgot about the ‘real world’ where the whole experience was really taking place? - Never:Almost all the time
MoviesPresence_4,"When you think back to your experience, do you think of the virtual environment more as images that you saw, or more as somewhere that you visited? - Only as images that I saw:Somewhere that I visited"
MoviesITC_1,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt sad that my experience was over"
MoviesITC_2,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt disorientated"
MoviesITC_3,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a sense that I had returned from a journey"
MoviesITC_4,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I would have liked the experience to continue"
MoviesITC_5,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I vividly remember some parts of the experience"
MoviesITC_6,"Please think of your experience when you last watched a movie or TV show that you enjoyed and answer the following questions.
 

 

 

 

AFTER MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I’d recommend the experience to my friends."
MoviesITC_7,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt myself being ‘drawn in’
MoviesITC_8,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt involved (in the displayed environment)
MoviesITC_9,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I lost track of time
MoviesITC_10,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I could interact with the displayed environment
MoviesITC_11,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The displayed environment seemed natural
MoviesITC_12,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - It felt like the content was ‘live’
MoviesITC_13,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that the characters and/or objects could almost touch me
MoviesITC_14,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I enjoyed myself
MoviesITC_15,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I was visiting the places in the displayed environment
MoviesITC_16,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt tired
MoviesITC_17,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The content seemed believable to me
MoviesITC_18,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I wasn’t just watching something
MoviesITC_19,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that I moved in response to parts of the displayed environment
MoviesITC_20,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt dizzy
MoviesITC_21,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that the displayed environment was part of the real world
MoviesITC_22,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - My experience was intense
MoviesITC_23,"DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I paid more attention to the displayed environment than I did to my own thoughts (e.g., personal preoccupations, daydreams etc.)"
MoviesITC_24,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a sense of being in the scenes displayed
MoviesITC_25,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that I could move objects (in the displayed environment)
MoviesITC_26,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The scenes depicted could really occur in the real world
MoviesITC_27,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I had eyestrain
MoviesITC_28,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I could almost smell different features of the displayed environment
MoviesITC_29,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that the characters were aware of me
MoviesITC_30,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a strong sense of sounds coming from different directions within the displayed environment
MoviesITC_31,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt surrounded by the displayed environment
MoviesITC_32,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt nauseous
MoviesITC_33,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had a strong sense that the characters and objects were solid
MoviesITC_34,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I could have reached out and touched things (in the displayed environment)
MoviesITC_35,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I sensed that the temperature changed to match the scenes in the displayed environment
MoviesITC_36,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I responded emotionally
MoviesITC_37,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt that all my senses were stimulated at the same time
MoviesITC_38,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - The content appealed to me
MoviesITC_39,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt able to change the course of events in the displayed environment
MoviesITC_40,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt as though I was in the same space as the characters and/or objects
MoviesITC_41,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I had the sensation that parts of the displayed environment (e.g. characters or objects) were responding to me
MoviesITC_42,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - It felt realistic to move things in the displayed environment
MoviesITC_43,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt I had a headache
MoviesITC_44,DURING MY EXPERIENCE OF THE DISPLAYED ENVIRONMENT... - I felt as though I was participating in the displayed environment
order,Condition
