id,dataset,order,gender,General_TAS_Total,General_M5_Extraversion,General_M5_Agreeableness,General_M5_Conscientiousness,General_M5_Neuroticism,General_M5_Openess
R_2qw837xu20ubG9U,N,1,1,8,3.2,3.4000000000000004,3.4000000000000004,3.3000000000000003,2.9000000000000004
R_2zoQ3Ik69f715hs,N,1,1,4,4.9,3.7,4.4,1.2000000000000002,3.5
R_eR8nSWvmkURbQrf,N,2,1,32,3.7,4,4.6000000000000005,2.3000000000000003,4.5
R_5C2fNwKasyBviBb,N,1,1,28,2.1,3.6,3.1,3.4000000000000004,4
R_2wzv9ayjl1Omc4o,N,2,2,14,4.9,2.9000000000000004,4.5,3.9000000000000004,4.3
R_7OjllrjHeyypkFb,N,1,1,20,2.1,3.1,4.7,3.4000000000000004,3.1
R_3dFkW5Yf8c2OLDd,N,2,2,22,3.4000000000000004,3.9000000000000004,4.4,2.9000000000000004,3.4000000000000004
R_1rj1sjQrljgoAcm,N,2,1,23,2.2,4.7,5,1.8,4.9
R_TnZGRgkGkIcKcTf,N,1,1,19,2.2,2.9000000000000004,2.4000000000000004,4.800000000000001,3.1
R_2PdG9BUbu51WAM4,N,2,1,25,3.3000000000000003,3.3000000000000003,4,2.3000000000000003,4.6000000000000005
R_2RUrwdmAkxWkoXg,N,2,1,20,2,3.3000000000000003,3.5,1.9000000000000001,2.9000000000000004
R_pH0MYqmNqyhkTKN,N,2,1,24,3.1,3.4000000000000004,3.6,3.3000000000000003,4.2
R_1hyZAD6pav1Yd6C,N,1,1,26,3.5,2.5,3.6,2.7,3.1
R_3NLrATqQg3uxJju,N,1,2,25,3.2,4.1000000000000005,4.4,2.7,3.6
R_3PSslFWZPtdWs7y,N,1,1,27,4,4.1000000000000005,3.9000000000000004,1.8,4.3
R_vAc3MD7QKVEumxr,N,2,2,26,2.7,2.7,2.5,3.8000000000000003,3.3000000000000003
R_3imT5ZWOQGZ4Q9j,N,1,1,13,2,3.5,1.8,4.3,4.6000000000000005
R_1RAHseYL9KxUtj3,N,1,2,18,2.6,4,3.7,3.3000000000000003,2.7
R_25IiZbqOR6BFSJr,N,2,2,27,3.1,3.3000000000000003,3.1,2.9000000000000004,3.5
R_wT9XIDlTDtOkZSV,N,2,1,23,1.6,1.4000000000000001,3.1,3.3000000000000003,3.3000000000000003
R_vUApPaPxZqMMQzn,N,2,1,26,3.4000000000000004,3.3000000000000003,3.7,1.8,3.4000000000000004
R_1Fqu83ctzYbUMNa,N,1,1,23,2.8000000000000003,3.3000000000000003,2.3000000000000003,3.9000000000000004,3.7
R_3NxM5JJvNGyNPhk,N,2,1,18,1.9000000000000001,3.7,2.9000000000000004,4.1000000000000005,4
R_3shW3GA8qVcy4Es,N,1,2,16,2,3.8000000000000003,3.3000000000000003,3.9000000000000004,4.5
R_2dYIKxy4F9dhlFG,N,1,1,12,2.7,3,3.4000000000000004,2.9000000000000004,4
R_w0sMaAAfeas11bX,N,2,2,27,2.2,3.8000000000000003,3.8000000000000003,1.1,3.7
R_D5XK5GVyb2VbmhP,N,2,1,24,4.3,3.4000000000000004,3.6,3.6,4.3
R_1E6w3aty8GCVea1,N,2,2,19,3.3000000000000003,3.5,3,4,4.6000000000000005
R_3EGQOokkMmpLrZg,N,1,1,22,3.6,4.4,4.1000000000000005,1.8,3.7
R_21FcOaO3mt8NJdu,N,2,2,22,2,4.2,3,4.4,4.1000000000000005
R_2dZv4gJ3MBJ51to,N,1,1,23,4,3.5,4,2.4000000000000004,4.1000000000000005
R_1qUQtAwcr36ag9v,N,1,2,14,3.2,2.6,4.1000000000000005,1.6,4.1000000000000005
R_4YnVfFkBB3UFIcN,N,1,1,16,2.3000000000000003,4.3,3.9000000000000004,1.7000000000000002,3.8000000000000003
R_2zMw9I9BcIlKHKr,N,2,1,30,4.3,3.9000000000000004,4.4,2.8000000000000003,3.8000000000000003
R_1LjeV9JCjfXqhGN,N,1,2,17,3,3.6,2.6,2.7,3.7
R_1pLIszddTcL9MRV,N,2,2,18,3.8000000000000003,3.7,3.9000000000000004,2.3000000000000003,4.800000000000001
R_xf4RAR3yFJcKeC5,N,2,2,29,3.8000000000000003,3.8000000000000003,4.2,2,3.6
R_2eWGwrZocNlRJFd,N,1,1,23,3.8000000000000003,2.3000000000000003,3.6,2.2,4.7
R_114Uij45do4BffS,N,1,2,20,3.5,3.2,3.2,3.8000000000000003,4
R_2cwijETGzTdcizs,N,2,1,16,3.7,4.1000000000000005,3.2,1.8,3.4000000000000004
R_wY22ORALDtI7Oa5,N,2,1,18,3.5,3.9000000000000004,3.5,2.3000000000000003,3.4000000000000004
R_2co84Tdt4mTikkR,N,2,1,28,2.1,2.6,3.1,4.5,4.2
R_3eadzUtsc5bXFF1,N,1,1,30,2.5,3.5,4.6000000000000005,3,4.6000000000000005
R_23Q7DyegoZqvr7X,N,1,1,27,4.7,2.7,3.6,2.7,4.2
R_2TLhFydz8Y8xgcQ,N,1,1,30,2.8000000000000003,4.3,2.9000000000000004,2.4000000000000004,3.9000000000000004
R_3EFEmcoZnVbFqn7,N,1,1,16,1.4000000000000001,3.9000000000000004,3,3,3.5
R_3DdRyoz7JhkwfXQ,N,1,1,17,4.800000000000001,4.3,4.800000000000001,1.4000000000000001,4.800000000000001
R_uvJdijyKhJbhFcd,N,1,2,11,2.9000000000000004,3.3000000000000003,4.1000000000000005,2.4000000000000004,3.3000000000000003
R_3m7TFbWCTHsS6Nr,N,2,1,16,3.5,4,3.5,1.9000000000000001,4
R_1mWArNNN8fWHr4J,N,2,1,26,2.2,2.8000000000000003,3.5,3.8000000000000003,4
R_3L6DoalB2kAlI7o,N,1,2,31,2.5,3.9000000000000004,3.7,3.4000000000000004,3.5
R_r9Cr9AwjZFgnWzn,N,1,1,27,3.1,2.6,4.1000000000000005,2.7,4.2
R_1n0YPm0fgsXwDMh,N,2,1,12,2.5,3,3.2,3.9000000000000004,3.6
R_WxtcqRpwDvlZNq9,N,1,1,20,3,3.9000000000000004,4,2.4000000000000004,4.2
R_3g4Jifk2CztgjZg,N,1,2,18,2.6,4.4,3.3000000000000003,3.1,4
R_6DzWWH6V4pWzOnv,N,2,2,20,1.1,3.5,1.8,4.800000000000001,4.4
R_39J0ORCCwyyQDHr,N,2,1,7,1.2000000000000002,2.7,5,2.6,3.9000000000000004
R_RXpQ4MOkH8Utifv,N,1,1,31,2.6,3,3.3000000000000003,3,4.3
R_yqfGMsG3xZ9Kvnj,N,1,2,28,4.9,4.4,3.1,1.9000000000000001,4
R_33dI60aKBJMiKvm,N,1,2,20,2.5,4.3,4.7,2,4.7
R_8hSVwXKzdqmyqFX,N,2,1,22,3.8000000000000003,4.1000000000000005,4.5,1.4000000000000001,4.3
R_2SqMUIkFZnquN0R,N,2,2,19,3.6,2.8000000000000003,3.7,3.7,4.4
R_1KlLVfbt9Xbgzc1,N,2,1,7,2.5,2.7,1.4000000000000001,2.7,3.6
R_01w5ANcAkMsjt3b,N,1,2,12,1.9000000000000001,3,3.3000000000000003,3.6,2.4000000000000004
R_2fdtpIkcQsAlcna,N,1,1,31,2.6,3.9000000000000004,4.1000000000000005,2.7,4.5
R_1HoycI0C5fBIKLE,N,2,1,8,1.3,1.3,4.3,4.800000000000001,3
R_3EgRbZY3unRbz8D,N,2,1,14,2.4000000000000004,3.2,3.1,3.3000000000000003,4.3
R_2eWQS7GrkJxpBWJ,N,1,2,31,4.7,4.1000000000000005,4.6000000000000005,1.4000000000000001,4.5
R_1FembHPXwSqm5Rp,N,1,1,15,4.1000000000000005,3.8000000000000003,4.3,1.5,4.1000000000000005
R_3iWkNslIDLxiCSX,N,1,1,17,1.8,3.6,4.1000000000000005,3.1,4.7
R_1lyMJ9WdHY7eucn,N,2,2,27,2.2,4.6000000000000005,3.2,4.5,4.9
R_2QL0eLcpMjijkgB,N,2,2,29,3.3000000000000003,2.9000000000000004,3.6,3.6,3.3000000000000003
R_xFM3kxDqXmg6xt7,N,2,1,1,2,2.3000000000000003,4.9,1.4000000000000001,3.4000000000000004
R_dg98hxFT3KrYP5f,N,2,2,29,1.9000000000000001,3.1,2.7,4.3,4.800000000000001
R_23efNPcdMi9BUnJ,N,2,2,33,3.6,3.9000000000000004,3.5,1.8,4
R_2c1kLZwe8ghIpyo,N,1,1,17,2.2,3.4000000000000004,3.6,2.4000000000000004,3.3000000000000003
R_3fjar6iolgNTrs8,N,1,2,20,4.3,3.3000000000000003,3.9000000000000004,1.9000000000000001,4.6000000000000005
R_2b1Ah75JPvTR3XA,N,2,1,18,2.3000000000000003,4.4,3.9000000000000004,1.8,3.8000000000000003
R_1lspOubKFdE8xO9,N,1,1,27,2.8000000000000003,2.2,3.4000000000000004,4.3,4.1000000000000005
R_31GBYCCwMNDXXfE,N,1,1,27,4.1000000000000005,4.1000000000000005,4.800000000000001,1.3,3.5
R_AMUpEIDyYtklPHP,N,1,1,8,1.6,4.1000000000000005,2.6,4.1000000000000005,3.4000000000000004
R_11Z5WYSFL0Xxye8,N,1,2,25,4,2.5,3.7,2.7,4.6000000000000005
R_1LG2xyddhxpmrCU,N,1,2,10,4.2,3.1,4.7,3.2,4.5
R_3EYFQuYx4nutEwd,N,1,2,24,3,3.6,3,3,4.7
R_24GXKfIQAoyfGiE,N,2,1,24,2.2,3.6,4,4.1000000000000005,3.8000000000000003
R_1eWP0LNdgv5jECA,N,2,2,24,3.7,4.3,3.5,2.3000000000000003,4.4
R_OBAGLQuVX64s9up,N,2,1,21,4.1000000000000005,4.6000000000000005,4.7,1,4.9
R_2aKSGpNPnCF99p3,N,1,2,22,4.1000000000000005,4.5,4.4,2.1,4.800000000000001
R_2t9yQ30YMGza3XM,N,2,1,16,1.2000000000000002,2.8000000000000003,2.3000000000000003,3.7,3.9000000000000004
R_aWNHug1cvcjr0bv,N,2,1,19,4.1000000000000005,3.7,3.5,2,3.3000000000000003
R_BWDQCGNKpFRzDTr,N,2,1,19,4,4.3,4.6000000000000005,1.1,3.3000000000000003
R_3qFfiHBN2P8lDyh,N,2,1,23,1.5,4.1000000000000005,2,4.1000000000000005,4.3
R_qCs7XPl8o4lYLMl,N,1,2,22,1.8,3.7,2.8000000000000003,4.4,3.9000000000000004
R_2zf4aqTnSaXaMsQ,N,2,2,25,3.1,2.9000000000000004,4.3,4,4.2
R_1HkmAz5Cj7qXbT8,N,2,1,21,2.9000000000000004,3.4000000000000004,2.9000000000000004,3.1,4.6000000000000005
R_3QLx86GOfThcuI3,N,1,1,28,2.8000000000000003,3.7,3.4000000000000004,3.5,4.3
R_3scPNJ5lB1TIhXy,N,2,2,28,2.4000000000000004,3.7,4,3.5,4.2
R_3Du2QBlFm7bZDWa,N,1,2,34,4.1000000000000005,3.7,3.8000000000000003,2.3000000000000003,3.7
R_2DP3HP4egKk7TY7,N,2,1,0,4.4,4.6000000000000005,4.800000000000001,1,3
R_vjXYGIGVYjudJJL,N,1,1,26,2.3000000000000003,3,4,2.6,2.6
R_2EgSBAVDBJKHNo3,N,2,1,15,4.9,4.9,4.7,1.2000000000000002,4.5
R_5byHgT0rmuuRdjr,N,1,2,29,2.5,4.3,5,1.4000000000000001,4.4
R_3MRtmSIKeVZPhk7,N,1,1,22,3.9000000000000004,3.9000000000000004,3,3.8000000000000003,3.3000000000000003
R_2QSatFkw227Pqc9,N,2,1,21,3.5,2.9000000000000004,3.4000000000000004,3.5,3.7
R_DG0fEwzLMs3QQ8h,N,2,1,29,1.7000000000000002,3.6,3.2,3.8000000000000003,3.9000000000000004
R_1K8YVMrHTiZpBu4,N,1,1,23,3.2,3.9000000000000004,4.2,3.1,3.7
R_1jB2YgRrXfw0hH8,N,1,1,12,1.8,3.2,2.5,2.9000000000000004,1.3
R_ByWobi0UdMOHN6x,N,2,2,28,1.2000000000000002,2.9000000000000004,4.6000000000000005,4.800000000000001,3.2
R_3OiTqqCpvPWEzSl,N,2,1,20,2.5,4.1000000000000005,4.2,1.8,4
R_3KuvRmtEjRjAmP2,N,1,1,17,2.7,4.1000000000000005,4.4,2,2.8000000000000003
R_UloS98uQzYt8g9z,N,1,1,13,4.5,2.4000000000000004,5,3.2,4.800000000000001
R_3EhY5pwDQYudhee,N,2,1,28,3.8000000000000003,4.3,3.8000000000000003,2.2,4.9
R_3HunFfGFCeSX2XJ,N,1,2,24,4,3,3.9000000000000004,2.6,3.6
R_2ZKtHGnQYToFK2D,N,1,2,20,2,2.4000000000000004,3.6,4.6000000000000005,4.800000000000001
R_22rTVEvWbh5IGCS,N,1,1,32,3.1,3.2,4,2.4000000000000004,3.3000000000000003
R_3eb0df3EGUZlIhs,N,2,2,31,1.9000000000000001,3.7,4.9,2.3000000000000003,3.7
R_1g8vToCUuIDP2SG,N,2,1,25,2.8000000000000003,3.7,4.3,2.8000000000000003,4.5
R_2ql0mIjXSl4aEPD,N,2,1,21,1.9000000000000001,3.4000000000000004,2.8000000000000003,4.2,4.1000000000000005
R_tFpH7jkqBpi76WR,N,2,1,19,2.3000000000000003,3.9000000000000004,3.7,2.3000000000000003,4
R_25LWto7h3nIviAv,N,2,2,21,3.3000000000000003,4.6000000000000005,4.1000000000000005,1.6,3.7
R_3LipO6dFUByBVaM,N,1,1,23,2.4000000000000004,4.4,4.1000000000000005,1.8,3.6
R_3PMjnX5E3w8Aymh,N,1,2,19,3.8000000000000003,4,4.6000000000000005,1.6,4.5
R_2Xmq1DIKKhbCog6,N,1,2,22,2.3000000000000003,4.5,4.4,2,4.6000000000000005
R_2Pn76k0xj1tWwmy,N,1,2,29,4.4,4.1000000000000005,4.800000000000001,3.2,4.800000000000001
R_3rNuWisLqPViPBU,N,1,1,23,3.6,4.1000000000000005,3.1,2.3000000000000003,4.7
R_AGyYrztHSxssZDX,N,1,1,23,2.3000000000000003,3.3000000000000003,3.5,3.2,4.2
R_2zp8KejqGN3E9ms,N,1,2,24,4.2,4.6000000000000005,4.9,1.3,4.9
R_2AKIKt6zg6TpxDY,N,1,1,20,2.2,4.1000000000000005,4.7,1.4000000000000001,2.9000000000000004
R_3ni9MzvJXvXbZyt,N,1,2,15,4.2,4.9,4.7,1.4000000000000001,4.2
R_DbIljofv0wSIenn,N,2,1,34,3.4000000000000004,3.4000000000000004,5,2.2,4.6000000000000005
R_1GBPbfzJrSRdDxA,N,1,2,18,2.6,4.6000000000000005,4.1000000000000005,2,4.5
R_r7G5nbkwoLKWtQB,N,1,2,29,2.9000000000000004,4.1000000000000005,3.5,4.9,4.800000000000001
R_1H1YkpfyMKrlB9J,N,2,1,15,3.3000000000000003,3.9000000000000004,3.9000000000000004,2.4000000000000004,3.5
R_1OCBKUDoy5wDS41,N,1,1,30,5,5,5,1.8,5
R_2Bexm9rysjjUWLL,N,2,2,31,3.3000000000000003,3.7,2.9000000000000004,2.6,4.4
R_1PcU5haMmicmL7u,N,2,2,30,2.4000000000000004,4.3,3.9000000000000004,2.2,3.3000000000000003
R_265wEshJy5TXon2,N,1,1,26,2.6,3.1,3.5,3,3.5
R_1BXhlWxVIxQAGl1,N,1,1,23,2.4000000000000004,3.5,2.7,3.5,3
R_2OJ7Pz7YQnQKi33,N,2,1,28,5,4.2,4.6000000000000005,2.6,4.5
R_1NsMPaYcZqzN1Vf,N,1,1,29,3.8000000000000003,3.8000000000000003,4.5,2.2,3.8000000000000003
R_86rDE7dDSBz3Ilz,N,2,1,17,4.1000000000000005,4.6000000000000005,4.4,1.5,4.800000000000001
R_3oEEQdctX3xtjdM,N,2,1,25,1.2000000000000002,3.9000000000000004,1.5,4.3,4.4
R_4Zsx3GGTBXrwsg1,N,2,2,24,1.7000000000000002,2.4000000000000004,2.7,4.2,3.7
R_sjWj2rKeftO9JrH,N,1,1,20,2.6,4,3.2,1.9000000000000001,3.8000000000000003
R_2wi4VkzeMnHJYGm,N,1,1,25,3.9000000000000004,3.5,3.5,2.4000000000000004,3.9000000000000004
R_3hm6oleAIUYKoiy,N,1,1,20,3,3.4000000000000004,3.9000000000000004,2.5,3.2
R_3GxZG8KmYwjBzdG,N,1,1,17,3.6,4.5,4.4,1.1,4.4
R_2ZDoLuxhyY6UP0W,N,2,1,14,1.1,3.8000000000000003,1.4000000000000001,4.2,3.9000000000000004
R_cZ1KXBlZqflxiI9,N,2,1,23,1.9000000000000001,2.7,3.7,3.8000000000000003,4.3
R_xgUmrX45wSLNVyp,N,2,1,9,2.3000000000000003,3.5,3.5,3,4
R_3g17ub3GlfzCmgz,N,2,1,21,2.9000000000000004,3,4.9,2.8000000000000003,4.4
R_1rvTf8yDTNcPGYq,N,1,2,27,2.9000000000000004,4.4,3.4000000000000004,2.7,4
R_2zSJiGnEEPdaT9l,N,1,2,20,2.5,3.6,2.1,3.6,4.3
R_bPDTxISb89Pcubf,N,1,1,16,3.2,3.8000000000000003,3.9000000000000004,1.7000000000000002,4.1000000000000005
R_3IXdSD1Oii9f0D1,N,2,1,21,1.6,4.5,3.3000000000000003,3.1,4.3
